grid_deg,n_groups,roc_auc,pr_auc,f1_fixed_0475,sensitivity_fixed,specificity_fixed,brier,best_threshold,f1_tuned,roc_auc_mean,roc_auc_sd,f1_fixed_mean,f1_fixed_sd
0.25,210,0.9302529957299863,0.9281676559943666,0.8679245283018868,0.887459807073955,0.842443729903537,0.10249030755170727,0.5299999999999999,0.8722044728434505,0.935188,0.017445,0.867781,0.025387
0.5,186,0.9256624724723691,0.9236313741114796,0.8746081504702194,0.8971061093247589,0.8456591639871383,0.10993342071574232,0.4649999999999999,0.878125,0.937985,0.011973,0.87471,0.024828
1.0,152,0.9245251806743107,0.9207003258330265,0.858034321372855,0.8842443729903537,0.8231511254019293,0.10784387168752436,0.575,0.8676236044657097,0.928636,0.024694,0.858341,0.030758
