Grid (deg),ROC AUC,F1 (t=0.475),F1 (tuned t),Best threshold
0.25,0.9302529957299863,0.8679245283018868,0.8722044728434505,0.5299999999999999
0.5,0.9256624724723691,0.8746081504702194,0.878125,0.4649999999999999
1.0,0.9245251806743107,0.858034321372855,0.8676236044657097,0.575
